ticker,correct,call_side,initial_fair,initial_signed_distance,rem_5p0,dist_5p0,fair_5p0,ask_5p0,rem_4p5,dist_4p5,fair_4p5,ask_4p5,rem_4p0,dist_4p0,fair_4p0,ask_4p0,rem_3p5,dist_3p5,fair_3p5,ask_3p5,rem_3p0,dist_3p0,fair_3p0,ask_3p0,rem_2p5,dist_2p5,fair_2p5,ask_2p5,rem_2p0,dist_2p0,fair_2p0,ask_2p0,rem_1p5,dist_1p5,fair_1p5,ask_1p5,dist_change_5.0_4.0,fair_change_5.0_4.0,ask_change_5.0_4.0,dist_change_4.5_3.5,fair_change_4.5_3.5,ask_change_4.5_3.5,dist_change_4.0_3.0,fair_change_4.0_3.0,ask_change_4.0_3.0,dist_change_3.5_2.5,fair_change_3.5_2.5,ask_change_3.5_2.5,dist_change_3.0_2.0,fair_change_3.0_2.0,ask_change_3.0_2.0,dist_change_2.5_1.5,fair_change_2.5_1.5,ask_change_2.5_1.5,min_signed_distance_5to2,min_fair_5to2
KXBTC15M-26AUG231100-00,True,UP,0.8018867924528301,120.10000000000582,4.770017616666666,177.4100000000035,1.0,0.969,4.268899116666666,123.92999999999302,0.9301075268817204,0.941,3.7705577,158.2899999999936,0.988095238095238,0.91,3.271727133333333,157.80999999999767,0.988095238095238,0.965,2.7716178166666667,132.13999999999942,0.9301075268817204,0.95,2.2707538166666668,87.61000000000058,0.8928571428571429,0.925,1.77057865,127.19000000000231,0.988095238095238,0.988,1.26924285,101.00999999999476,0.9301075268817204,0.992,-19.120000000009895,-0.011904761904761973,-0.05899999999999994,33.88000000000466,0.057987711213517645,0.02400000000000002,-26.14999999999418,-0.057987711213517645,0.039999999999999925,-70.19999999999709,-0.09523809523809512,-0.039999999999999925,-4.949999999997104,0.057987711213517645,0.038000000000000034,13.39999999999418,0.037250384024577476,0.06699999999999995,87.61000000000058,0.8928571428571429
KXBTC15M-26AUG231200-00,True,DOWN,0.8018867924528301,104.7899999999936,4.7691789,119.19999999999708,0.988095238095238,0.956,4.27025745,119.2100000000064,0.988095238095238,0.967,3.7701070166666666,117.64999999999418,1.0,0.98,3.269974383333333,99.08999999999652,0.9655172413793104,0.985,2.7712637166666667,105.27000000000407,0.9301075268817204,0.959,2.265537316666667,105.60000000000582,0.9396716189769112,0.99,1.7696641833333333,132.17999999999302,1.0,0.998,1.26858335,147.22000000000116,1.0,1.0,-1.5500000000028962,0.011904761904761973,0.02400000000000002,-20.12000000000988,-0.02257799671592764,0.018000000000000016,-12.379999999990105,-0.06989247311827962,-0.02100000000000002,6.510000000009299,-0.025845622402399182,0.0050000000000000044,26.90999999998894,0.06989247311827962,0.039000000000000035,41.61999999999534,0.060328381023088795,0.010000000000000009,99.08999999999652,0.9301075268817204
KXBTC15M-26AUG231215-15,True,UP,0.8018867924528301,121.20999999999184,4.768385016666667,64.61999999999534,0.9301075268817204,0.908,4.27040285,91.13999999999942,0.988095238095238,0.958,3.76470865,105.39999999999418,1.0,0.969,3.2680708333333333,124.94000000000231,1.0,0.993,2.769437083333333,124.7899999999936,1.0,0.993,2.2680090833333333,109.66999999999824,1.0,0.993,1.7687962833333333,105.25999999999476,1.0,0.988,1.267748,125.22000000000116,1.0,0.996,40.779999999998836,0.06989247311827962,0.06099999999999994,33.800000000002896,0.011904761904761973,0.03500000000000003,19.389999999999418,0.0,0.02400000000000002,-15.270000000004075,0.0,0.0,-19.529999999998836,0.0,-0.0050000000000000044,15.550000000002925,0.0,0.0030000000000000027,64.61999999999534,0.9301075268817204
KXBTC15M-26AUG231315-15,True,DOWN,0.8018867924528301,150.5500000000029,4.7671162166666665,88.4600000000064,0.8928571428571429,0.902,4.2657220166666665,148.74000000000524,0.988095238095238,0.973,3.768616033333333,158.19000000000233,1.0,0.978,3.2686471000000004,131.4600000000064,1.0,0.974,2.7663255,146.9100000000035,0.988095238095238,0.974,2.26588735,114.25,1.0,0.991,1.7622726,104.73000000001048,1.0,0.98,1.2680281333333334,106.88999999999942,1.0,0.996,69.72999999999593,0.1071428571428571,0.07599999999999996,-17.279999999998836,0.011904761904761973,0.0010000000000000009,-11.279999999998836,-0.011904761904761973,-0.0040000000000000036,-17.210000000006403,0.0,0.017000000000000015,-42.179999999993015,0.011904761904761973,0.006000000000000005,-7.360000000000582,0.0,0.0050000000000000044,88.4600000000064,0.8018867924528301
KXBTC15M-26AUG231530-30,True,UP,0.8018867924528301,61.73999999999069,5.1944871,59.36999999999534,0.890625,0.9,4.694450533333334,44.59999999999127,0.890625,0.82,4.19237275,48.0,0.8928571428571429,0.89,3.694176583333333,49.379999999990105,0.9301075268817204,0.89,3.1920804166666668,46.05999999999767,0.9301075268817204,0.89,2.69166965,47.83999999999651,0.988095238095238,0.909,2.1933156166666667,27.369999999995343,0.8018867924528301,0.84,1.6938809666666663,27.369999999995343,0.890625,0.925,-11.369999999995343,0.0022321428571429047,-0.010000000000000009,4.779999999998836,0.03948252688172038,0.07000000000000006,-1.9400000000023283,0.037250384024577476,0.0,-1.5399999999935972,0.057987711213517645,0.019000000000000017,-18.69000000000233,-0.12822073442889026,-0.050000000000000044,-20.470000000001164,-0.09747023809523803,0.016000000000000014,27.369999999995343,0.8018867924528301
KXBTC15M-26AUG231545-45,True,UP,1.0,-5.190000000002328,4.995589833333333,20.0,0.8018867924528301,0.65,4.5143573,38.05000000000291,0.890625,0.76,4.197457766666667,44.63000000000466,0.9301075268817204,0.76,3.457981766666667,35.330000000001746,0.890625,0.85,3.035516083333333,27.669999999998254,0.7593984962406015,0.85,2.2679429,24.99000000000524,0.8928571428571429,0.75,1.94602655,16.160000000003492,0.7593984962406015,0.86,1.475722633333333,45.36999999999534,0.988095238095238,0.86,24.630000000004657,0.12822073442889026,0.10999999999999999,-2.720000000001164,0.0,0.08999999999999997,-16.960000000006403,-0.17070903064111886,0.08999999999999997,-10.339999999996508,0.0022321428571429047,-0.09999999999999998,-11.509999999994761,0.0,0.010000000000000009,20.379999999990105,0.09523809523809512,0.10999999999999999,16.160000000003492,0.7261146496815287
KXBTC15M-26AUG231600-00,True,DOWN,0.8018867924528301,40.55999999999767,4.921645616666667,39.44999999999709,0.890625,0.8,4.3702818,42.04000000000815,0.9301075268817204,0.83,4.111959766666667,54.83000000000175,0.890625,0.83,3.559706816666667,72.13999999999942,0.9301075268817204,0.913,2.767567716666667,85.38999999999942,0.988095238095238,0.981,2.4827923,90.80999999999769,1.0,0.981,1.9787212333333333,99.63000000000466,1.0,0.991,1.6758672833333332,57.91000000000349,0.988095238095238,0.99,15.380000000004664,0.0,0.029999999999999916,30.09999999999127,0.0,0.08300000000000007,30.559999999997665,0.09747023809523803,0.15100000000000002,18.669999999998268,0.06989247311827962,0.06799999999999995,14.240000000005239,0.011904761904761973,0.010000000000000009,-32.89999999999419,-0.011904761904761973,0.009000000000000008,35.820000000006985,0.8018867924528301
KXBTC15M-26AUG231615-15,True,DOWN,0.8018867924528301,140.05999999999767,4.882205099999999,83.29000000000815,0.9487179487179488,0.86,4.543511366666666,72.9600000000064,0.890625,0.89,4.087216483333333,74.63999999999942,0.9301075268817204,0.88,3.2915140666666667,70.26000000000931,0.9655172413793104,0.909,2.915163966666667,61.51000000000931,0.9655172413793104,0.933,2.4895625166666666,63.65000000000873,1.0,0.928,2.1098814166666666,66.75,1.0,0.96,1.68351775,78.93000000000757,0.988095238095238,0.96,-8.650000000008731,-0.018610421836228408,0.020000000000000018,-2.6999999999970896,0.07489224137931039,0.019000000000000017,-13.129999999990105,0.035409714497590006,0.05300000000000005,-6.610000000000582,0.03448275862068961,0.019000000000000017,5.239999999990687,0.03448275862068961,0.026999999999999913,15.279999999998836,-0.011904761904761973,0.03199999999999992,61.51000000000931,0.890625
KXBTC15M-26AUG231630-30,True,UP,0.890625,31.269999999989523,4.924220633333333,91.77999999999884,1.0,0.972,4.699128366666667,91.77999999999884,1.0,0.972,4.1085339,108.5799999999872,1.0,0.984,3.31253065,112.52999999999884,1.0,0.989,3.060058133333333,112.52999999999884,1.0,0.994,2.50361805,124.77999999999884,1.0,0.993,2.2478931833333333,113.88999999999942,1.0,0.993,1.4441983166666668,124.77999999999884,1.0,0.999,16.79999999998836,0.0,0.01200000000000001,20.75,0.0,0.017000000000000015,3.9500000000116415,0.0,0.010000000000000009,12.25,0.0,0.0040000000000000036,1.360000000000582,0.0,-0.0010000000000000009,0.0,0.0,0.006000000000000005,91.77999999999884,1.0
KXBTC15M-26AUG231700-00,False,UP,1.0,-1.7100000000064028,5.124110516666667,-35.26000000000931,0.2406015037593984,0.21,4.311589116666667,-34.220000000001164,0.2406015037593984,0.14,4.031888400000001,-34.220000000001164,0.2406015037593984,0.14,3.50295185,-22.74000000000524,0.2738853503184713,0.16,3.2422539666666665,-25.65000000000873,0.2738853503184713,0.18,2.4323650666666667,-24.860000000000586,0.0698924731182795,0.17,1.9135830666666669,-32.61000000000058,0.0119047619047619,0.064,1.6082160666666667,-34.2100000000064,0.0119047619047619,0.064,1.040000000008149,0.0,-0.06999999999999998,11.479999999995925,0.03328384655907288,0.01999999999999999,8.569999999992433,0.03328384655907288,0.03999999999999998,-2.119999999995347,-0.20399287720019177,0.010000000000000009,-6.959999999991851,-0.26198058841370936,-0.11599999999999999,-9.350000000005817,-0.05798771121351759,-0.10600000000000001,-42.49000000000524,0.0119047619047619
KXBTC15M-26AUG231715-15,True,UP,0.8018867924528301,162.52999999999884,5.156338833333334,242.7399999999907,1.0,0.987,4.3487855500000006,235.5899999999965,1.0,0.992,4.01275165,244.27999999999884,1.0,0.991,3.5183224666666666,230.45999999999185,1.0,0.991,3.2292159833333334,219.83000000000172,1.0,0.991,2.4112054,231.27999999999884,1.0,0.994,1.9058115166666667,246.55999999999767,1.0,1.0,1.5987024666666667,244.27000000000407,1.0,1.0,1.540000000008149,0.0,0.0040000000000000036,-5.130000000004657,0.0,-0.0010000000000000009,-24.449999999997118,0.0,0.0,0.8200000000069849,0.0,0.0030000000000000027,26.729999999995954,0.0,0.009000000000000008,12.990000000005239,0.0,0.006000000000000005,219.83000000000172,1.0
KXBTC15M-26AUG231730-30,True,UP,0.9487179487179488,244.8700000000099,5.004298683333333,228.06000000001225,1.0,0.973,4.484199816666666,201.77000000000407,1.0,0.979,4.201956183333333,213.32000000000696,1.0,0.979,3.386576216666666,285.5500000000029,1.0,0.988,2.918130333333333,303.9400000000023,1.0,0.998,2.5651613333333336,262.1100000000006,1.0,0.998,2.111123233333333,239.88999999999945,1.0,0.999,1.3088714166666666,320.75,1.0,1.0,-14.740000000005296,0.0,0.006000000000000005,83.77999999999884,0.0,0.009000000000000008,90.61999999999537,0.0,0.019000000000000017,-23.44000000000233,0.0,0.010000000000000009,-64.05000000000288,0.0,0.0010000000000000009,58.63999999999942,0.0,0.0020000000000000018,201.77000000000407,1.0
